TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COLUMN_DEFAULT
----------,-----------,----------------,-----------,---------,------------------------,-----------------,-------------,--------------
__EFMigrationsHistory,MigrationId,1,NO,nvarchar,150,NULL,NULL,NULL
__EFMigrationsHistory,ProductVersion,2,NO,nvarchar,32,NULL,NULL,NULL
anuladas,idtransaction,1,NO,int,NULL,10,0,NULL
anuladas,Serie,2,YES,nvarchar,255,NULL,NULL,NULL
anuladas,Tipo,3,YES,nvarchar,255,NULL,NULL,NULL
anuladas,Numero,4,YES,float,NULL,53,NULL,NULL
anuladas,Descripcion,5,YES,nvarchar,255,NULL,NULL,NULL
AspNetRoleClaims,Id,1,NO,int,NULL,10,0,NULL
AspNetRoleClaims,ClaimType,2,YES,nvarchar,-1,NULL,NULL,NULL
AspNetRoleClaims,ClaimValue,3,YES,nvarchar,-1,NULL,NULL,NULL
AspNetRoleClaims,RoleId,4,NO,nvarchar,450,NULL,NULL,NULL
AspNetRoles,Id,1,NO,nvarchar,450,NULL,NULL,NULL
AspNetRoles,ConcurrencyStamp,2,YES,nvarchar,-1,NULL,NULL,NULL
AspNetRoles,Name,3,YES,nvarchar,256,NULL,NULL,NULL
AspNetRoles,NormalizedName,4,YES,nvarchar,256,NULL,NULL,NULL
AspNetUserClaims,Id,1,NO,int,NULL,10,0,NULL
AspNetUserClaims,ClaimType,2,YES,nvarchar,-1,NULL,NULL,NULL
AspNetUserClaims,ClaimValue,3,YES,nvarchar,-1,NULL,NULL,NULL
AspNetUserClaims,UserId,4,NO,nvarchar,450,NULL,NULL,NULL
AspNetUserLogins,LoginProvider,1,NO,nvarchar,450,NULL,NULL,NULL
AspNetUserLogins,ProviderKey,2,NO,nvarchar,450,NULL,NULL,NULL
AspNetUserLogins,ProviderDisplayName,3,YES,nvarchar,-1,NULL,NULL,NULL
AspNetUserLogins,UserId,4,NO,nvarchar,450,NULL,NULL,NULL
AspNetUserRoles,UserId,1,NO,nvarchar,450,NULL,NULL,NULL
AspNetUserRoles,RoleId,2,NO,nvarchar,450,NULL,NULL,NULL
AspNetUsers,Id,1,NO,nvarchar,450,NULL,NULL,NULL
AspNetUsers,AccessFailedCount,2,NO,int,NULL,10,0,NULL
AspNetUsers,ConcurrencyStamp,3,YES,nvarchar,-1,NULL,NULL,NULL
AspNetUsers,Email,4,YES,nvarchar,256,NULL,NULL,NULL
