TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION
----------,-----------,----------------
__EFMigrationsHistory,MigrationId,1
anuladas,idtransaction,1
AspNetRoleClaims,Id,1
AspNetRoles,Id,1
AspNetUserClaims,Id,1
AspNetUserLogins,LoginProvider,1
AspNetUserLogins,ProviderKey,2
AspNetUserRoles,RoleId,2
AspNetUserRoles,UserId,1
AspNetUsers,Id,1
AspNetUserTokens,LoginProvider,2
AspNetUserTokens,Name,3
AspNetUserTokens,UserId,1
dtproperties,id,1
dtproperties,property,2
empresas,Id_Empresa,1
sysdiagrams,diagram_id,1
Tbl_Abonos,Id_Empresa,1
Tbl_Abonos,Id_Tipo_Pago,2
Tbl_Abonos,Numero_Pago,3
Tbl_anticipos_clientes,Id_Empresa,1
Tbl_anticipos_clientes,Id_Numero_Anticipo,2
Tbl_anticipos_clientes_forma_cobro,Id_empresa,1
Tbl_anticipos_clientes_forma_cobro,Id_linea,3
Tbl_anticipos_clientes_forma_cobro,Id_Numero_anticipo,2
Tbl_Anticipos_Pos,Cajero,3
Tbl_Anticipos_Pos,Id_Anticipo,4
Tbl_Anticipos_Pos,Id_Caja,2
Tbl_Anticipos_Pos,Id_Empresa,1
Tbl_anticipos_pos_aplicacion,Autorizacion,3
Tbl_anticipos_pos_aplicacion,Id_anticipo,7
Tbl_anticipos_pos_aplicacion,Id_caja,2
Tbl_anticipos_pos_aplicacion,Id_empresa,1
Tbl_anticipos_pos_aplicacion,Id_tipo,5
Tbl_anticipos_pos_aplicacion,Numero,6
Tbl_anticipos_pos_aplicacion,Serie,4
Tbl_Arqueo_Caja,fecha,4
Tbl_Arqueo_Caja,Id_Caja,2
Tbl_Arqueo_Caja,Id_cajero,3
Tbl_Arqueo_Caja,Id_Empresa,1
Tbl_articulo_configura_costo_venta,Id_articulo,2
Tbl_articulo_configura_costo_venta,Id_cuenta,3
Tbl_articulo_configura_costo_venta,Id_departamento,4
Tbl_articulo_configura_costo_venta,Id_empresa,1
Tbl_articulos,Id_Articulo,2
Tbl_articulos,Id_Empresa,1
Tbl_Bancos,Id_Banco,2
Tbl_Bancos,Id_Empresa,1
Tbl_bodega,Id_Bodega,2
Tbl_bodega,Id_Empresa,1
tbl_cab_entrega_despacho,Id_empresa,1
tbl_cab_entrega_despacho,Numero,2
Tbl_Cab_Facturacion,Autorizacion,3
Tbl_Cab_Facturacion,Id_Caja,2
Tbl_Cab_Facturacion,Id_Empresa,1
Tbl_Cab_Facturacion,Id_Tipo,5
Tbl_Cab_Facturacion,Numero,6
Tbl_Cab_Facturacion,Serie,4
Tbl_Cab_generacion_compras,Id_bodega,3
Tbl_Cab_generacion_compras,Id_empresa,1
Tbl_Cab_generacion_compras,Nit,4
Tbl_Cab_generacion_compras,Numero,6
Tbl_Cab_generacion_compras,Periodo,2
