name,parent_table,parent_col,ref_table,ref_col,delete_referential_action_desc,update_referential_action_desc
----,------------,----------,---------,-------,------------------------------,------------------------------
FK_AspNetRoleClaims_AspNetRoles_RoleId,AspNetRoleClaims,RoleId,AspNetRoles,Id,CASCADE,NO_ACTION
FK_AspNetUserClaims_AspNetUsers_UserId,AspNetUserClaims,UserId,AspNetUsers,Id,CASCADE,NO_ACTION
FK_AspNetUserLogins_AspNetUsers_UserId,AspNetUserLogins,UserId,AspNetUsers,Id,CASCADE,NO_ACTION
FK_AspNetUserRoles_AspNetRoles_RoleId,AspNetUserRoles,RoleId,AspNetRoles,Id,CASCADE,NO_ACTION
FK_AspNetUserRoles_AspNetUsers_UserId,AspNetUserRoles,UserId,AspNetUsers,Id,CASCADE,NO_ACTION
FK_Tbl_anticipos_clientes_Tbl_anticipos_clientes,Tbl_anticipos_clientes,Id_Empresa,Tbl_anticipos_clientes,Id_Empresa,NO_ACTION,NO_ACTION
FK_Tbl_anticipos_clientes_Tbl_anticipos_clientes,Tbl_anticipos_clientes,Id_Numero_Anticipo,Tbl_anticipos_clientes,Id_Numero_Anticipo,NO_ACTION,NO_ACTION
FK_Tbl_anticipos_clientes_forma_cobro_Tbl_anticipos_clientes,Tbl_anticipos_clientes_forma_cobro,Id_Numero_anticipo,Tbl_anticipos_clientes,Id_Numero_Anticipo,CASCADE,NO_ACTION
FK_Tbl_anticipos_clientes_forma_cobro_Tbl_anticipos_clientes,Tbl_anticipos_clientes_forma_cobro,Id_empresa,Tbl_anticipos_clientes,Id_Empresa,CASCADE,NO_ACTION
FK_Tbl_bodega_empresas,Tbl_bodega,Id_Empresa,empresas,Id_Empresa,NO_ACTION,NO_ACTION
FK_tbl_cab_entrega_despacho_Tbl_solicitud_despacho_cliente,tbl_cab_entrega_despacho,Id_empresa,Tbl_solicitud_despacho_cliente,Id_empresa,NO_ACTION,NO_ACTION
FK_tbl_cab_entrega_despacho_Tbl_solicitud_despacho_cliente,tbl_cab_entrega_despacho,Id_solicitud_despacho,Tbl_solicitud_despacho_cliente,Id_solicitud_despacho,NO_ACTION,NO_ACTION
FK_Tbl_Cab_Facturacion_Tbl_Vendedores,Tbl_Cab_Facturacion,Id_Empresa,Tbl_Vendedores,Id_Empresa,NO_ACTION,NO_ACTION
FK_Tbl_Cab_Facturacion_Tbl_Vendedores,Tbl_Cab_Facturacion,Id_empleado,Tbl_Vendedores,Id_Empleado,NO_ACTION,NO_ACTION
FK_Tbl_Cab_generacion_compras_Tbl_bodega,Tbl_Cab_generacion_compras,Id_empresa,Tbl_bodega,Id_Empresa,NO_ACTION,NO_ACTION
FK_Tbl_Cab_generacion_compras_Tbl_bodega,Tbl_Cab_generacion_compras,Id_bodega,Tbl_bodega,Id_Bodega,NO_ACTION,NO_ACTION
FK_Tbl_cabecera_movimientos_Tbl_Tipos_Inv,Tbl_cabecera_movimientos,Id_Empresa,Tbl_Tipos_Inv,Id_Empresa,NO_ACTION,NO_ACTION
FK_Tbl_cabecera_movimientos_Tbl_Tipos_Inv,Tbl_cabecera_movimientos,Id_Tipo,Tbl_Tipos_Inv,Id_Tipo,NO_ACTION,NO_ACTION
FK_Tbl_cabecera_movimientos_Tbl_Proveedores,Tbl_cabecera_movimientos,Id_Empresa,Tbl_Proveedores,Id_Empresa,CASCADE,NO_ACTION
FK_Tbl_cabecera_movimientos_Tbl_Proveedores,Tbl_cabecera_movimientos,Nit,Tbl_Proveedores,Nit,CASCADE,NO_ACTION
FK_Tbl_cabecera_orden_produccion_Tbl_cabecera_orden_produccion,Tbl_cabecera_orden_produccion,Id_Empresa,Tbl_Proveedores,Id_Empresa,NO_ACTION,NO_ACTION
FK_Tbl_cabecera_orden_produccion_Tbl_cabecera_orden_produccion,Tbl_cabecera_orden_produccion,Nit,Tbl_Proveedores,Nit,NO_ACTION,NO_ACTION
FK_tbl_cliente_gasolina_tbl_cliente_gasolina,tbl_cliente_gasolina,id_empresa,Tbl_Proveedores,Id_Empresa,NO_ACTION,NO_ACTION
FK_tbl_cliente_gasolina_tbl_cliente_gasolina,tbl_cliente_gasolina,id_cliente_vale,Tbl_Proveedores,Nit,NO_ACTION,NO_ACTION
FK_Tbl_comanda_Tbl_mesero,Tbl_comanda,Id_empresa,Tbl_mesero,ID_EMPRESA,NO_ACTION,NO_ACTION
FK_Tbl_comanda_Tbl_mesero,Tbl_comanda,Id_mesero,Tbl_mesero,Id_mesero,NO_ACTION,NO_ACTION
FK_Tbl_comanda_detalle_Tbl_Productos,Tbl_comanda_detalle,Id_producto,Tbl_Productos,Id_Producto,NO_ACTION,NO_ACTION
FK_Tbl_comanda_detalle_Tbl_Productos,Tbl_comanda_detalle,Id_empresa,Tbl_Productos,Id_Empresa,NO_ACTION,NO_ACTION
